platsfr;platsti;unespar;sparnr;bdl;kmfr;meterfr;bdl;kmti;meterti;spm;objnr;radie;Km+m;Km+m_ti
Hrbg;Hrbg;;33;417;2;936;417;2;961;24;27369;-280;2,936120017;2,960593017
Ltn;Sam;E;;434;2;937;434;2;973;36;31372;-850;2,936778;2,972779
Tm;Tm;;41;403;2;937;403;3;6;69;31713;425;2,937079;3,006224
Hrbg;Hrbg;;24;417;2;939;417;2;963;24;27357;-300;2,939048027;2,963048027
Hrbg;Hrbg;;26;417;2;941;417;2;964;23;27359;-220;2,94113099;2,96398099
Hrbg;Hrbg;;27;417;2;942;417;2;965;23;31292;-225;2,941704979;2,965073979
Bsä;Mmg;E;;845;2;943;845;3;379;427;8947;719;2,943400024;3,379399994
Hrbg;Hrbg;;60;417;2;944;417;2;1027;83;39723;-200;2,943752;3,0266
Hrbg;Hrbg;;16;417;2;945;417;2;966;21;27169;-300;2,945278021;2,966235021
Hrbg;Hrbg;E;105;417;2;946;417;3;50;104;31333;587;2,945947;3,049689
Hrbg;Hrbg;;17;417;2;947;417;2;966;19;27348;-350;2,947223;2,965954
Hrbg;Hrbg;;38;417;2;949;417;2;975;26;31309;-200;2,948761019;2,974983019
Hrbg;Hrbg;;25;417;2;949;417;2;962;13;31287;-800;2,948853027;2,962035027
Hrbg;Hrbg;;14;417;2;950;417;2;966;16;31273;-300;2,950150988;2,966146988
Nyh;Nyh;;1;477;2;953;477;2;1000;48;35880;-380;2,95286;3,000464
Hrbg;Hrbg;;41;417;2;957;417;2;974;17;27389;220;2,956716977;2,973976977
Aik;Aik;;5;001;2;958;001;3;15;57;33812;300;2,958109998;3,01478
Hrbg;Hrbg;;31;417;2;959;417;2;969;10;27367;800;2,959048989;2,969176989
Hrbg;Hrbg;;15;417;2;960;417;2;969;10;27168;-330;2,959583;2,969148
Hrbg;Hrbg;;42;417;2;960;417;2;977;17;31314;455;2,959824981;2,976882981
Bst;Ffs;E;;143;2;960;143;2;980;20;1641;-1021;2,960000122;2,980000122
Hrbg;Hrbg;;43;417;2;961;417;2;978;18;27396;450;2,960582023;2,978225023
In;In;;15;331;2;961;331;2;973;13;30536;-200;2,960699999;2,973299999
Hrbg;Hrbg;;45;417;2;965;417;2;985;20;31316;1420;2,965022;2,984845
Hls;Åm;E;;152;2;967;152;3;43;76;18776;780;2,967000244;3,043000244
Hrbg;Hrbg;;23;417;2;973;417;2;984;11;27412;-380,29;2,972976014;2,983503014
Hrbg;Hrbg;;25;417;2;973;417;2;984;11;31288;-380,29;2,973272027;2,983798027
Hrbg;Hrbg;;21;417;2;973;417;2;984;11;27355;-380,29;2,973430974;2,983949949
Hrbg;Hrbg;;34;417;2;975;417;2;992;17;27361;-600;2,974896985;2,991500996
Hrbg;Hrbg;;17;417;2;975;417;2;986;11;27352;-380,29;2,97495;2,985513027
Hrbg;Hrbg;;27;417;2;975;417;2;986;11;31293;-380,29;2,975073959;2,985591965
Jögb;Jögb;E;1;715;2;976;715;3;15;46;15247;-304;2,976;3,01499999
Hrbg;Hrbg;;15;417;2;976;417;2;987;11;31275;-380,29;2,976241;2,986803993
Hrbg;Hrbg;;31;417;2;978;417;2;988;11;27365;-380,29;2,977693989;2,988218964
Humn;Humn;;3;173;2;978;173;2;984;6;34924;300;2,97799;2,983903
Hrbg;Hrbg;;13;417;2;978;417;2;989;11;27166;-380,29;2,978175;2,988738052
Äbgb;Snt;E;;344;2;979;344;3;114;135;30436;430;2,978779;3,113716
Tmö;Tmö;U3;u3;401;2;979;401;3;152;175;38211;900;2,978907016;3,151847
Hrbg;Hrbg;;33;417;2;980;417;2;990;11;31306;-380,29;2,979659017;2,990182026
In;In;;17;331;2;980;331;2;991;11;30541;390;2,979999996;2,990979996
Hrbg;Hrbg;;37;417;2;980;417;2;991;11;27386;-380,29;2,980190011;2,99071542
Hrbg;Hrbg;;11;417;2;981;417;2;991;11;27150;-380,29;2,980744;2,991307007
Tmö;Tmö;U1;u1;401;2;982;401;3;122;146;38215;910;2,982145007;3,122303
Hrbg;Hrbg;;k;417;2;983;417;2;1004;21;39732;-200;2,982888;3,003550003
Hrbg;Hrbg;;41;417;2;983;417;2;994;11;31310;-380,29;2,982976977;2,993501389
Hrbg;Hrbg;;35;417;2;983;417;2;994;11;27376;-380,29;2,983061989;2,993588993
Tmö;Tmö;;d1;401;2;983;401;3;123;147;38338;914,5;2,983284002;3,122788
Hrbg;Hrbg;;23;417;2;984;417;2;994;10;27412;-380,29;2,983574028;2,994017
Hrbg;Hrbg;;21;417;2;984;417;2;994;11;27355;-380,29;2,98362001;2,994472
Hrbg;Hrbg;;25;417;2;984;417;2;994;11;31288;-380,29;2,983798027;2,994312
Hrbg;Hrbg;;17;417;2;985;417;2;996;11;27352;-380,29;2,985134979;2,995991
Hrbg;Hrbg;;27;417;2;986;417;2;996;11;31293;-380,29;2,985591965;2,996116
Tmö;Tmö;;d2;401;2;986;401;3;123;147;38334;919;2,986471012;3,123273
Hrbg;Hrbg;;15;417;2;987;417;2;997;10;31275;-380,29;2,986803993;2,997282
Hrbg;Hrbg;;35;417;2;988;417;3;4;23;27376;-380,29;2,987897385;3,004103
Hrbg;Hrbg;;43;417;2;988;417;2;999;11;27469;-380,29;2,988225023;2,998745232
Hrbg;Hrbg;;13;417;2;989;417;2;999;11;27166;-380,29;2,98869803;2,999216
Hrbg;Hrbg;;31;417;2;989;417;2;999;10;27365;-380,29;2,989138977;2,998735
Hrbg;Hrbg;;11;417;2;991;417;3;2;22;27150;-380,29;2,991262009;3,001785
Hrbg;Hrbg;;33;417;2;992;417;3;1;21;31306;-380,29;2,991500996;3,0007
Hrbg;Hrbg;;37;417;2;993;417;3;1;20;27386;-380,29;2,992507431;3,001231
Hrbg;Hrbg;;45;417;2;993;417;2;1004;11;31317;-380,29;2,992710798;3,003622002
Hrbg;Hrbg;;41;417;2;994;417;3;4;20;31310;-380,29;2,993501389;3,004018
Hrbg;Hrbg;;47;417;2;998;417;2;1009;11;31325;-380,29;2,998004;3,00852491
Hrbg;Hrbg;;43;417;2;1001;417;3;9;24;27469;-380,29;3,000793205;3,009266
Oxd;Nks;E;;492;3;1;492;3;99;99;25088;980;3,0009;3,099400024
Hrbg;Hrbg;;v109;417;3;3;417;3;25;22;39728;-200;3,002994997;3,024574001
Hrbg;Hrbg;;z1;001;2;1004;001;2;1009;5;39732;-200;3,003550003;3,008931
Hrbg;Hrbg;;45;417;2;1004;417;2;1014;10;31317;-380,29;3,003622002;3,013763002
Hrbg;Hrbg;;v109;001;2;1005;001;3;3;45;39728;-200;3,004736;3,002995
Kas;Kas;E;1a;827;3;5;827;3;593;588;22860;468;3,0052;3,593299988
Fln;Hno;E;;323;3;6;323;3;500;494;14878;1190;3,005746;3,500179
Ptå;Ptå;;z100;004;3;7;004;3;234;227;38261;500;3,006583;3,23351
Hrbg;Hrbg;;47;417;2;1009;417;2;1016;8;31325;-380,29;3,008525026;3,016316926
Löö;Let;E;;666;3;10;666;3;155;145;12104;374;3,009999908;3,155
Söu;Söö;E1;g;451;3;11;451;3;94;83;24562;-1000;3,011201;3,09394
Hrbg;Hrbg;;25;417;3;12;417;3;23;11;31289;-380,29;3,012144;3,022667
Hrbg;Hrbg;;21;417;3;12;417;3;23;10;31280;-380,29;3,012377;3,022827
Hrbg;Hrbg;;15;417;3;15;417;3;17;2;31276;-380,29;3,015114;3,017244998
Hrbg;Hrbg;;45;417;3;16;417;3;26;11;39470;-380,29;3,015675;3,026193998
Hrbg;Hrbg;;21;417;3;16;417;3;33;17;31280;-380,29;3,016469999;3,033418
Hrbg;Hrbg;;25;417;3;17;417;3;33;17;31289;-380,29;3,016528997;3,033185
Hrbg;Hrbg;;31;417;3;17;417;3;18;1;31302;-380,29;3,016773;3,018162
Hrbg;Hrbg;;15;417;3;17;417;3;36;19;31276;-380,29;3,017244999;3,036155
Humn;Humn;;3;173;3;17;173;3;56;39;34933;-300;3,017296;3,056406
Hrbg;Hrbg;;z1;001;2;1018;001;3;25;36;39733;200;3,017931;3,024851
Hrbg;Hrbg;;31;417;3;18;417;3;38;20;31302;-380,29;3,018161999;3,037814
F;Vf;E;;710;3;18;710;3;987;969;12131;-2338;3,018199951;3,987200195
Hrbg;Hrbg;;35;417;3;20;417;3;43;23;31308;-380,29;3,019554998;3,042976001
Hrbg;Hrbg;;11;417;3;20;417;3;41;21;27151;-380,29;3,019617;3,040658
Hrbg;Hrbg;;41;417;3;22;417;3;23;1;31311;-380,29;3,02185;3,023108
Hrbg;Hrbg;;41;417;3;23;417;3;43;20;31311;-380,29;3,023107998;3,042891
Hrbg;Hrbg;;45;417;3;26;417;3;37;11;39470;-380,29;3,026193999;3,036716
Spjb;Nd;E;;364;3;35;364;3;203;168;15131;-767;3,035;3,203
Hrbg;Hrbg;;21;417;3;38;417;3;47;9;31281;-380,59;3,038374;3,046969
Tou;Ryk;E;;735;3;40;735;3;180;140;12379;-285;3,040099998;3,180100006
Hrbg;Hrbg;;31;417;3;43;417;3;49;6;31303;-380,59;3,04277;3,048660999
Gk;Gk;;90;601;3;46;601;3;157;111;38857;-300;3,045509991;3,156665991
Hrbg;Hrbg;;11;417;3;46;417;3;49;3;31270;-380,59;3,045614;3,049070999
Hrbg;Hrbg;;21;417;3;47;417;3;68;21;31281;-380,59;3,046969;3,068402001
Hrbg;Hrbg;;41;417;3;48;417;3;54;6;31312;-380,59;3,047847;3,053606998
Hrbg;Hrbg;;31;417;3;49;417;3;73;24;31303;-380,59;3,048660999;3,072797002
Hrbg;Hrbg;;11;417;3;49;417;3;76;27;31270;-380,59;3,049070999;3,075641001
Smo;Smo;E2;v;303;3;53;303;3;76;23;18305;25000;3,053000011;3,075900024
Hrbg;Hrbg;;41;417;3;54;417;3;78;24;31312;-380,59;3,053606998;3,077875002
Gua;Gua;;52;001;3;54;001;3;473;419;37431;586;3,053677;3,472881
Lkö;Lkö;E;5;938;3;66;938;3;124;58;30792;-27191;3,06617;3,12421
Ös;Ös;E1;luk;261;3;73;261;3;107;34;2721;-600;3,073;3,107
Hrbg;Hrbg;;107-309;417;3;73;417;3;191;117;39688;205;3,073440007;3,190750007
Mkl;Hal;E;;623;3;74;623;3;184;110;10575;-374;3,074100098;3,184100098
Dma;Gmo;E;;435;3;87;435;3;249;162;17167;315;3,087100098;3,248600098
Hrbg;Hrbg;;106;417;3;90;417;3;161;71;39716;200;3,090106999;3,161035999
Gk;Gk;E;88;601;3;93;601;3;188;95;24055;-520;3,092503;3,187512003
Kvf;Kvf;E;4;873;3;94;873;3;250;156;29021;-1000;3,094;3,25
Hrbg;Hrbg;;31;417;3;101;417;3;130;29;31304;255;3,100797002;3,129797002
Hrbg;Hrbg;;11;417;3;104;417;3;138;34;31271;-244;3,103641001;3,137641001
Hrbg;Hrbg;;21;417;3;105;417;3;125;20;27354;-310;3,105402001;3,125402001
Ks;Skog;E;;395;3;106;395;3;219;113;26379;384;3,105804886;3,218826843
Hrbg;Hrbg;;41;417;3;106;417;3;140;34;31313;200;3,105875002;3,139875002
Kla;Nkp;E;;591;3;119;591;3;155;35;30171;20000;3,119474;3,154827
Hrbg;Hrbg;E;105;417;3;129;417;3;149;21;31334;-350;3,128689;3,149247
Avky;Acm;E;;333;3;138;333;3;187;49;6098;-620;3,138151;3,186655
Tmö;Tmö;U3;u3;401;3;152;401;3;184;32;38220;3603,5;3,151847;3,184254994
Hfj;Ndt;;;239;3;158;239;3;196;37;35039;1300;3,15842;3,195873
Humn;Humn;;11;173;3;163;173;3;179;17;34916;-300;3,162800003;3,179382
Kms;Sbl;E;;563;3;164;563;3;315;151;8643;1144;3,164;3,315
Tmö;Tmö;N1;n1;401;3;168;401;3;287;119;37596;625;3,167791;3,287137
Tmö;Tmö;N3;n3;401;3;168;401;3;276;108;37625;629,5;3,167793;3,275835
Hrbg;Hrbg;E;105;417;3;173;417;3;194;21;31335;-600;3,173247;3,193758035
Gro;Gro;N;86;601;3;181;601;3;393;211;10111;-585,5;3,181155;3,392551
Tmö;Tmö;U3;u3;401;3;184;401;3;217;32;38220;3603,5;3,184256989;3,216664999
Gro;Gro;U;85;601;3;185;601;3;382;197;10150;-590;3,184817;3,381516
Humn;Humn;;11;173;3;187;173;3;220;33;34917;300;3,186898;3,220096
Gk;Gk;E;88;601;3;188;601;3;268;80;24055;-520;3,187512004;3,267569
Hrbg;Hrbg;E;105;417;3;194;417;3;280;86;31335;-600;3,193758041;3,280101
N;Ory;E;;831;3;203;831;3;279;77;17804;-1553;3,2025;3,27930011
Nyf;Amk;E;;141;2;1207;141;2;1281;74;23696;1200;3,206599976;3,281
Jn;Jn;N3;nnk;412;3;209;412;3;350;140;33745;-1210;3,20906;3,34955
Söö;Söö;E1;g;418;3;213;418;3;448;236;24563;760;3,212739899;3,448432899
Hrbg;Hrbg;;541-546;417;3;216;417;3;226;11;39744;-189,51;3,215634005;3,22638
Tmö;Tmö;U3;u3;401;3;217;401;3;264;47;38221;3600;3,216664999;3,263721999
Tmö;Tmö;;209-210a;401;3;217;401;3;257;40;38222;900;3,216695988;3,256503999
Sst;Sst;N2S;n2;401;3;239;401;3;438;199;6856;-395;3,239218;3,438013988
Sst;Sst;N1S;n1;401;3;242;401;3;438;196;6797;-390;3,24171101;3,43759701
Hrbg;Hrbg;;sky1;417;3;246;417;3;257;11;39745;189,514;3,245638;3,256634005
Mss;Mss;E1;1;877;3;248;877;3;339;91;28948;-500;3,248;3,339
Ptå;Ptå;;z100;004;3;254;004;3;306;52;38262;491;3,25351;3,305755
Hbgb;Hbgb;E1;484-485;904;3;257;904;3;273;16;30788;300;3,256967052;3,273230004
Öh;Dma;E1;;435;3;261;435;3;396;134;6431;-2628;3,261300049;3,395699951
N;Snö;E;;829;3;267;829;3;519;252;13578;-793;3,267;3,519
Tmö;Tmö;;208a-b;401;3;269;401;3;301;32;38218;1200;3,268620031;3,301090031
Hrbg;Hrbg;;304;417;3;273;417;3;293;20;31337;-541;3,272846;3,292851
Humn;Humn;;2;173;3;281;173;3;351;70;32862;600;3,281;3,351
Humn;Humn;;11;173;3;281;173;3;352;71;34919;604,5;3,281419;3,352069
Bst;Ffs;E;;143;3;283;143;3;324;41;1642;-986;3,283;3,324
Fsm;Åd;E;;153;3;286;153;3;354;68;1888;-417;3,286;3,354
Hrbg;Hrbg;;107-309;417;3;287;417;3;310;23;39689;1000;3,287125006;3,310347006
Gk;Gk;E1;2;603;3;290;603;3;593;303;34623;-774;3,290035;3,593475
Mjv;Bet;E;;132;3;293;132;3;881;588;23303;999;3,293013;3,880589
Gk;Gk;;90;601;3;300;601;3;363;63;38858;760;3,299665991;3,362849993
Hfj;Ndt;;;239;3;307;239;3;334;27;35040;-50000;3,306743;3,334012
Äbgb;Snt;E;;344;3;310;344;3;315;5;30437;-610;3,309716;3,31499001
Sst;Sst;U2S;u2;401;3;312;401;3;429;117;30149;-500;3,311947;3,429005009
Sst;Sst;U1S;u1;401;3;312;401;3;429;117;31476;-504,5;3,312260973;3,429014004
Tmö;Tmö;;200a-b;401;3;313;401;3;314;1;38340;5986;3,312999969;3,313999969
Snt;Snt;E;3;313;3;315;313;3;370;55;30437;-610;3,314990082;3,370314
Tmö;Tmö;;200a-b;401;3;320;401;3;323;3;38341;5035;3,319999969;3,323199969
Tmö;Tmö;U1;u1;401;3;322;401;3;368;46;38216;4700;3,322303031;3,368303031
Söö;Söö;N1;8;418;3;322;418;3;413;91;25594;2500;3,322431;3,4133
Tmö;Tmö;;d1;401;3;323;401;3;364;42;38339;4704,5;3,322787;3,364411004
Tmö;Tmö;;200a-b;401;3;323;401;3;331;8;38342;4704,5;3,323199969;3,331299969
Tmö;Tmö;;d2;401;3;323;401;3;369;46;38335;4709;3,323269969;3,369434969
Ptå;Ptå;;z100;004;3;326;004;3;355;29;38263;514;3,325755;3,35521
Hrbg;Hrbg;;308;417;3;327;417;3;348;21;31331;380;3,326829997;3,347946997
Nyh;Nyh;E;2;477;3;328;477;3;455;128;35873;-1200;3,327608;3,455124
Nyh;Nyh;;1;477;3;328;477;3;497;168;35881;-1205;3,328141;3,496629
Tmö;Tmö;U5;u5;401;3;336;401;3;396;60;38224;-1200;3,336309986;3,395842995
Hrbg;Hrbg;;107-309;417;3;350;417;3;373;23;39690;-1000;3,350347006;3,373324006
Tmö;Tmö;N4;n4;401;3;351;401;3;363;12;39290;1200;3,350864;3,362621
Humn;Humn;;3;173;3;362;173;3;382;19;34936;3100;3,362379;3,381661
Gk;Gk;;90;601;3;363;601;3;401;38;38858;760;3,362850006;3,401289
Tmö;Tmö;;n3-n4;401;3;364;401;3;397;33;39298;-1520,2;3,363892031;3,396635994
Tmö;Tmö;;d1;401;3;364;401;3;369;4;38339;4704,5;3,364411011;3,368869
Hrbg;Hrbg;;105;417;3;371;417;3;392;21;31336;2000;3,370832;3,391568
Hrbg;Hrbg;;308;417;3;374;417;3;381;7;39674;-440;3,373745997;3,381035008
Ptå;Ptå;;z100;004;3;375;004;3;483;108;38264;505;3,37521;3,483241
Tmö;Tmö;;n1-n3;401;3;377;401;3;407;29;39297;-1200;3,377137;3,406606
Tm;Tm;;8;403;3;378;403;3;403;25;31720;-20000;3,377571996;3,402571996
Vn;Vn;E;3;405;3;379;405;3;538;159;30234;-297;3,3786;3,538049
Kvf;Kvf;E;4;873;3;380;873;3;539;159;29022;1000;3,38;3,539
Hrbg;Hrbg;;308;417;3;381;417;3;383;2;39674;-440;3,381035011;3,383101
Hrbg;Hrbg;;549-550;417;3;381;417;3;391;10;39746;315,848;3,381035011;3,391221
Tmö;Tmö;;210a-b;401;3;381;401;3;399;18;38223;-1200;3,381100995;3,399398995
Hrbg;Hrbg;;308;417;3;383;417;3;396;13;39675;-379,03;3,383101;3,396013
Tmö;Tmö;N4;n4;401;3;385;401;3;472;87;39291;-2400;3,385261;3,471848
Snt;Snt;E;3;313;3;390;313;3;509;119;30438;-560;3,390314;3,509065
Tm;Tm;;6;403;3;393;403;3;415;22;31723;-9000;3,392723;3,414531
Tmö;Tmö;;n3-n4;401;3;397;401;3;429;32;39298;-1520,2;3,396635994;3,428700031
Tn;Hj;E;;843;3;399;843;3;641;242;8777;1016;3,399;3,641
Hrbg;Hrbg;E;104;417;3;403;417;3;468;65;39770;610;3,403;3,468
Rsi;Apt;E;;116;3;408;116;3;622;214;355;-600;3,408;3,622
Hrbg;Hrbg;;549-550;417;3;415;417;3;422;8;39747;-189,51;3,414527;3,422035011
Hbgb;Hbgb;E1;11;904;3;415;904;3;488;73;18770;1400;3,41484;3,48763
Kla;Nkp;E;;591;3;416;591;3;444;28;10053;-1071;3,41611;3,444071
Hrbg;Hrbg;;309;417;3;422;417;3;435;13;39748;190;3,421835011;3,435151
Hrbg;Hrbg;;537-535;417;3;425;417;3;436;11;39740;-190;3,425438992;3,435962998
Smo;Smo;E2;v;303;3;425;303;3;474;49;4858;-600;3,425445;3,47401001
Tmö;Tmö;N5;n5;401;3;429;401;3;444;16;39293;5700;3,428700031;3,444346031
Tmö;Tmö;;n3-n4;401;3;429;401;3;470;42;39299;-1520;3,428700031;3,470200031
Sst;Åbe;U2S;u2;401;3;429;401;3;429;0;30149;-500;3,429005009;3,429025009
Sst;Åbe;U1S;u1;401;3;429;401;3;429;0;31476;-504,5;3,429014004;3,429034004
Åbe;Åbe;U2S;u2;401;3;429;401;3;538;108;30149;-500;3,429025009;3,537507
Åbe;Åbe;U1S;u1;401;3;429;401;3;540;111;31476;-504,5;3,429034004;3,540479973
Löö;Let;E;;666;3;430;666;3;810;380;12105;-459;3,429999908;3,810000061
Fsm;Åd;E;;153;3;430;153;3;459;29;1889;-3072;3,43;3,459
Tm;Tm;;l6;403;3;434;403;3;444;11;33800;-189,51;3,4336;3,44429
Sst;Åbe;N2S;n2;401;3;438;401;3;438;0;6856;-395;3,438013988;3,438033988
Åbe;Åbe;N2S;n2;401;3;438;401;3;441;3;6856;-395;3,438033988;3,441208
Hrbg;Hrbg;;303;417;3;440;417;3;460;20;39669;-26000;3,439733003;3,460158003
Söö;Söö;N1;8;418;3;446;418;3;492;45;25595;-2500;3,446253;3,491695034
Hrbg;Hrbg;;305;417;3;447;417;3;471;24;39672;10000;3,447184;3,471213
Hrbg;Hrbg;;308;417;3;447;417;3;467;20;39676;-950;3,447332;3,467365
Hrbg;Hrbg;;537-535;417;3;455;417;3;465;11;39741;190;3,454891998;3,465413992
Hrbg;Hrbg;;309;417;3;455;417;3;463;8;39749;-189,51;3,455275;3,462835011
Hbgb;Hbgb;E;1;904;3;456;904;3;476;20;30479;-300;3,45600001;3,47638001
Tm;Tm;;l6;403;3;458;403;3;523;66;33801;200;3,457563;3,523108
Hrbg;Hrbg;;303;417;3;460;417;3;483;23;39670;14000;3,460158003;3,483101003
Tmö;Tmö;U4;u4;401;3;462;401;3;495;33;38229;-1960;3,461908001;3,494723001
Hrbg;Hrbg;;535-536;417;3;465;417;3;476;10;39742;-190;3,46541399;3,475698999
Tmö;Tmö;N1;n1;401;3;467;401;3;704;237;18042;-930;3,467136994;3,703735994
Hrbg;Hrbg;;308;417;3;467;417;3;487;20;39677;950;3,467365;3,487436
Ös;Ös;E1;luk;261;3;468;261;3;569;101;2722;-600;3,468;3,568710022
Tm;Tm;;32;403;3;469;403;3;513;43;33808;200;3,469448;3,512861
Hrbg;Hrbg;;305;417;3;471;417;3;492;20;39673;-15000;3,471213;3,491561
Tmö;Tmö;N4;n4;401;3;472;401;3;521;49;39292;-1200;3,471848;3,520805008
Hrbg;Hrbg;;309;417;3;473;417;3;493;21;39691;-10000;3,472608;3,493143
Gua;Gua;;52;001;3;473;001;3;765;292;37432;1087;3,472881;3,765245
Smo;Osl;E;;243;3;474;243;3;662;188;4858;-600;3,47401001;3,662181
Tmö;Tmö;N3;n3;401;3;479;401;3;650;170;39287;-922;3,479443031;3,649604031
Acm;Acm;E;;333;3;484;333;3;530;45;6099;1515;3,484091;3,529555
Nyh;Nyh;E;2;477;3;485;477;3;601;116;35874;-1370;3,485124;3,601494
Tm;Tm;;8a;403;3;490;403;3;492;2;31718;-190;3,48977;3,49177
Tm;Tm;;5;403;3;490;403;3;512;21;31724;-12000;3,490476;3,511601
Tm;Tm;;8;403;3;491;403;3;511;20;31721;-11400;3,491006;3,511066
Tm;Tm;;7;403;3;491;403;3;511;20;33767;-11400;3,491009;3,511077
Tm;Tm;;8a;403;3;492;403;3;515;24;31719;-300;3,49177;3,51547
Hrbg;Hrbg;;309;417;3;493;417;3;514;21;39692;10000;3,493143;3,514078
Hrbg;Hrbg;;535-536;417;3;496;417;3;507;11;39743;190;3,496488999;3,50724999
Fär;Fär;E;1;302;3;498;302;3;680;182;17237;296;3,497607;3,679775
Hls;Åm;E;;152;3;514;152;3;739;225;1825;345;3,514;3,739
Tmö;Tmö;;d1;401;3;516;401;3;551;35;33789;-2854,5;3,516308;3,550915
Tmö;Tmö;N5;n5;401;3;517;401;3;666;150;39294;-914,5;3,516600031;3,666230031
Tmö;Tmö;;d2;401;3;517;401;3;551;35;32987;-2850;3,516873969;3,551381969
Hrbg;Hrbg;;303;417;3;518;417;3;522;4;39671;18130;3,517858;3,522335
Fln;Hno;E;;323;3;520;323;3;560;40;26870;1183;3,520179;3,560288
Tmö;Tmö;N4;n4;401;3;521;401;3;557;36;39292;-1200;3,520805008;3,556863
Tm;Tm;;32;403;3;525;403;3;537;12;33809;325;3,525105;3,536670982
Jögb;Jögb;E;1;715;3;530;715;3;836;306;17824;600;3,53;3,836235
Fsm;Åd;E;;153;3;532;153;3;585;53;1890;-459;3,532;3,585
Ptå;Ptå;;z100;004;3;533;004;3;554;21;38265;474;3,533241;3,554335
Tm;Tm;;32;403;3;537;403;3;579;42;33809;325;3,536670982;3,579011
Hm;Fin;E;;932;3;544;932;3;622;78;36642;-742;3,543695;3,622134
Snt;Snt;E;3;313;3;549;313;3;574;25;30439;-347;3,549065;3,574463
Åbe;Åbe;N2S;n2;401;3;550;401;3;605;54;6857;50000;3,550233;3,604665
Nyh;Nyh;;1;477;3;557;477;3;619;62;35882;-1800;3,556629;3,618676
Tou;Ryk;E;;735;3;560;735;3;690;130;12380;-346;3,560099976;3,690099976
Gk;Gk;E;88;601;3;565;601;3;811;247;24056;-500;3,564647;3,811463
Tmö;Tmö;U5;u5;401;3;567;401;3;604;37;38225;-1800;3,567034995;3,603691995
Tm;Tm;;l7;403;3;568;403;3;578;10;33804;-189,51;3,568;3,578378
Ös;Ös;E1;luk;261;3;569;261;3;641;72;2722;-600;3,568710022;3,641
Tm;Tm;;l5;403;3;573;403;3;597;24;33797;200;3,573348;3,596858
Tm;Tm;;32;403;3;579;403;3;593;14;33821;-382;3,579011;3,592765984
Tmö;Tmö;N2;n2;401;3;585;401;3;630;45;18033;-850;3,585014;3,630075
Kms;Sbl;E;;563;3;586;563;4;42;456;8644;-1497;3,586;4,042
Tmö;Tmö;U2;u2;401;3;586;401;3;630;44;38228;-845,5;3,586006;3,630162
Tm;Tm;;32;403;3;587;403;3;604;17;33821;-382;3,586976013;3,603802
Hbgb;Hbgb;E;1;904;3;587;904;3;672;85;30480;-594,5;3,58709001;3,67209001
Åbe;Åbe;N1S;n1;401;3;594;401;3;627;33;27724;33000;3,593688;3,626737
Tm;Tm;;l7;403;3;599;403;3;616;17;33805;300;3,599344;3,615844
Tm;Tm;;l6;403;3;600;403;3;684;84;33802;-300;3,599857;3,683706
Mkl;Hal;E;;623;3;604;623;3;664;60;10576;960;3,604100098;3,664100098
Oxd;Nks;E;;492;3;607;492;3;679;73;25089;-435;3,606599854;3,679200195
Tm;Tm;;8;403;3;607;403;3;627;20;33769;-615,8;3,607135;3,627178
Tm;Tm;;7;403;3;607;403;3;627;20;33768;-620;3,607147;3,627326
Tm;Tm;;6;403;3;607;403;3;646;39;33777;-1190;3,607161;3,645893
Tm;Tm;;5;403;3;607;403;3;652;45;33776;-1380;3,607217;3,652133
Gro;Gro;U;85;601;3;615;601;3;671;55;38380;-99000;3,615153;3,670644
Tm;Tm;;l7;403;3;616;403;3;683;67;33806;-300;3,615844;3,682996
Tm;Tm;;l5;403;3;620;403;3;650;30;33798;-300;3,620147;3,650106
Tmö;Tmö;N4;n4;401;3;637;401;3;917;280;7788;-592;3,636863;3,916673
Gk;Gk;;90;601;3;645;601;4;80;400;38859;-416;3,645308;4,080316
Tm;Tm;;8;403;3;647;403;3;680;33;33770;300;3,646939;3,680136
Nyh;Nyh;;1;477;3;655;477;3;780;125;35883;-1534;3,654676;3,779859
Kvf;Kvf;E;4;873;3;669;873;3;734;65;29023;-1000;3,669;3,734
Ptå;Ptå;;z100;004;3;684;004;3;706;22;38266;-20000;3,684047;3,706035
Acm;Snb;E;;333;3;688;333;3;809;122;6100;709;3,687629;3,809223
Nyh;Nyh;E;2;477;3;691;477;3;753;61;35875;-90000;3,691494;3,752658
Snt;Snt;E;3;313;3;694;313;3;737;43;30440;-350;3,693596;3,736967
Hbgb;Hbgb;N;1;904;3;694;904;3;794;100;30362;1280,5;3,69426001;3,79401001
Tm;Tm;;l5;403;3;697;403;3;819;122;33799;-250;3,696837;3,819087
Tmö;Tmö;U3;u3;401;3;699;401;4;102;377;38881;-476;3,698895015;4,102485
Tmö;Tmö;N3;n3;401;3;706;401;4;103;424;39288;-476;3,705604031;4,102969963
Kbä;Hh;E;;345;3;707;345;3;769;61;17558;3549;3,707317;3,768748
Hbgb;Hbgb;U;2;904;3;709;904;3;794;85;30473;1276;3,70872001;3,79401001
Gdö;Hova;E;;552;3;710;552;3;933;223;9911;-2083;3,71;3,933
Hbgb;Hbgb;E;1;904;3;712;904;3;733;21;39413;-450;3,71209001;3,73301001
Tmö;Tmö;U5;u5;401;3;714;401;3;964;251;38226;1500;3,713691995;3,964244995
